  0	4.545e-01
  c	3.636e-01
  d	9.091e-02
  y	9.091e-02
 0 	2.126e-01
 00	7.559e-01
 a 	3.106e-01
 a0	2.761e-03
 aa	1.380e-03
 ab	1.035e-02
 ac	8.075e-02
 ad	4.624e-02
 af	7.591e-03
 ag	3.037e-02
 ah	1.035e-02
 ai	6.901e-04
 aj	2.070e-03
 al	1.518e-01
 am	2.139e-02
 an	4.555e-02
 ao	2.484e-02
 ap	6.556e-02
 aq	1.449e-02
 ar	2.415e-02
 as	6.556e-02
 at	2.346e-02
 au	3.796e-02
 av	6.211e-03
 ay	1.518e-02
 az	6.901e-04
 b 	7.143e-03
 ba	3.357e-01
 be	1.071e-01
 bi	1.429e-01
 bl	2.857e-02
 bo	7.143e-03
 br	1.286e-01
 bs	1.429e-02
 bu	2.286e-01
 c 	6.579e-04
 c0	2.632e-03
 ca	1.099e-01
 cd	1.974e-03
 ce	3.092e-02
 ci	4.211e-02
 cl	2.105e-02
 cm	1.118e-02
 co	6.322e-01
 cr	4.539e-02
 cu	1.020e-01
 d 	3.834e-04
 da	2.492e-02
 db	1.150e-03
 dc	3.834e-04
 de	8.738e-01
 df	3.834e-04
 di	7.094e-02
 dn	3.834e-04
 do	1.649e-02
 dr	1.534e-03
 du	9.586e-03
 e 	2.140e-03
 ec	1.676e-02
 ed	7.133e-04
 ee	3.566e-04
 ef	1.284e-02
 ej	9.272e-03
 el	2.300e-01
 em	3.531e-02
 en	2.839e-01
 eq	3.566e-03
 er	3.923e-03
 es	3.039e-01
 et	7.133e-04
 eu	4.351e-02
 ev	9.986e-03
 ex	4.315e-02
 fa	9.777e-02
 fe	1.257e-01
 ff	2.793e-03
 fi	1.341e-01
 fl	4.749e-02
 fo	3.352e-01
 fr	8.939e-02
 fu	1.676e-01
 ga	1.518e-01
 ge	1.309e-01
 gi	1.047e-02
 gl	2.094e-02
 go	5.759e-02
 gr	5.602e-01
 gu	6.806e-02
 ha	7.231e-01
 he	1.481e-01
 hi	1.731e-02
 hn	5.769e-03
 ho	7.885e-02
 hu	2.692e-02
 i 	4.515e-03
 i.	4.515e-03
 id	2.483e-02
 ig	2.483e-02
 il	2.257e-03
 im	1.648e-01
 in	7.427e-01
 ir	9.029e-03
 is	2.032e-02
 it	2.257e-03
 ja	5.128e-02
 ji	2.564e-02
 jo	5.128e-02
 ju	7.949e-01
 jv	7.692e-02
 ki	6.250e-02
 ko	8.750e-01
 ku	6.250e-02
 l 	1.381e-03
 la	6.349e-01
 ld	4.604e-04
 le	2.855e-02
 lg	9.208e-04
 li	3.223e-03
 ll	1.796e-02
 lm	1.381e-03
 ln	2.762e-03
 lo	2.758e-01
 lt	1.151e-02
 lu	2.072e-02
 ly	4.604e-04
 m 	4.926e-03
 ma	1.638e-01
 mb	1.232e-02
 me	2.599e-01
 mi	1.810e-01
 ml	1.232e-03
 mn	1.108e-02
 mo	9.852e-02
 mr	1.232e-03
 ms	1.293e-01
 mt	3.695e-03
 mu	1.207e-01
 mx	1.232e-02
 na	6.972e-02
 nd	1.992e-03
 ne	1.155e-01
 ni	8.765e-02
 nm	9.960e-03
 no	5.299e-01
 nr	1.992e-03
 nu	1.833e-01
 o 	1.411e-01
 ob	2.727e-01
 oc	6.583e-02
 od	3.135e-03
 of	1.881e-02
 oj	3.135e-03
 ol	3.448e-02
 om	3.135e-03
 on	3.135e-03
 op	8.777e-02
 or	2.571e-01
 os	3.135e-03
 ot	1.066e-01
 pa	2.203e-01
 pb	3.925e-03
 pe	1.045e-01
 pg	4.907e-04
 pi	1.570e-02
 pl	2.699e-02
 po	2.355e-01
 pp	2.453e-03
 pr	3.234e-01
 ps	4.907e-04
 pt	1.963e-03
 pu	6.379e-02
 py	4.907e-04
 qu	1.000e+00
 ra	4.970e-02
 re	8.404e-01
 rg	1.506e-03
 ri	3.313e-02
 ro	6.024e-03
 rp	1.205e-02
 ru	5.723e-02
 s 	4.864e-03
 sa	1.807e-02
 sc	3.475e-03
 se	4.448e-01
 si	1.355e-01
 sl	2.154e-02
 sn	6.949e-04
 so	1.682e-01
 sp	6.949e-04
 sr	4.448e-02
 st	9.729e-03
 su	1.466e-01
 sw	1.390e-03
 ta	2.268e-01
 tc	6.916e-03
 te	2.089e-01
 ti	8.022e-02
 tn	1.107e-02
 to	1.923e-01
 tr	2.573e-01
 tu	1.660e-02
 u 	3.766e-03
 ub	1.883e-03
 ue	3.202e-02
 ul	2.825e-02
 um	1.883e-03
 un	8.267e-01
 ur	2.260e-02
 us	6.026e-02
 ut	2.260e-02
 va	2.409e-01
 vc	9.091e-03
 ve	2.682e-01
 vi	2.455e-01
 vn	1.364e-02
 vo	2.091e-01
 vs	4.545e-03
 vu	9.091e-03
 we	2.500e-01
 wu	7.500e-01
 xi	7.143e-01
 xo	1.429e-01
 xx	1.429e-01
 y 	9.245e-01
 ya	4.926e-02
 yo	2.627e-02
 zi	3.704e-02
 zo	9.630e-01
. b	1.800e-01
. c	8.000e-02
. d	6.000e-02
. e	6.000e-02
. f	4.000e-02
. h	6.000e-02
. k	2.600e-01
. p	4.000e-02
. r	4.000e-02
. s	1.200e-01
. v	2.000e-02
. w	2.000e-02
. z	2.000e-02
.00	1.000e+00
0  	7.207e-02
0 0	4.505e-02
0 a	7.207e-02
0 c	4.505e-02
0 d	2.703e-01
0 e	6.306e-02
0 f	9.009e-03
0 g	4.505e-02
0 h	3.604e-02
0 l	9.009e-03
0 m	2.703e-02
0 n	2.703e-02
0 o	9.009e-03
0 p	1.802e-02
0 q	1.802e-02
0 r	5.405e-02
0 s	9.009e-03
0 t	1.802e-02
0 u	9.009e-03
0 v	2.703e-02
0 y	1.171e-01
0.0	1.000e+00
00 	2.523e-01
00.	9.009e-03
000	6.697e-01
00c	2.402e-02
0ce	5.000e-01
0co	5.000e-01
a  	2.703e-04
a 0	2.163e-03
a a	7.353e-02
a b	7.299e-03
a c	1.133e-01
a d	1.149e-01
a e	1.022e-01
a f	1.784e-02
a g	7.029e-03
a h	1.649e-02
a i	2.352e-02
a j	1.352e-03
a l	1.125e-01
a m	3.217e-02
a n	1.811e-02
a o	1.406e-02
a p	1.046e-01
a q	3.920e-02
a r	3.541e-02
a s	5.948e-02
a t	2.244e-02
a u	4.001e-02
a v	1.865e-02
a w	2.703e-04
a y	2.244e-02
a z	8.110e-04
a. 	6.667e-01
a..	1.667e-01
